,Nutrition,School attendance,Schooling,Electricity,Drinking water,Sanitation,Housing,Cooking fuel,Assets
Nutrition,0.0,0.0,0.0,0.0,0.0,0.06374975717437054,0.0,0.021508561953697086,0.0
School attendance,0.0,0.0,0.08041965703199762,0.23187303066742243,0.0,0.020751293999320103,0.0,0.027995871240927034,0.16924354133977076
Schooling,0.0,0.16199110346939205,0.0,0.3534612722112121,0.01644274027886602,0.055939549774310385,0.0058329126970542945,0.034596692378744714,0.43555001427766094
Electricity,0.0,0.0672493606631562,0.0508921514031706,0.0,0.0,0.021191877292067937,0.0,0.008517729878551754,0.6108625553919076
Drinking water,0.0,0.0,0.013385024565276508,0.0,0.0,0.04527240275380523,0.02114004646657237,0.01428149812319456,0.0
Sanitation,0.24623642221294473,0.12880885592270927,0.1723814616783688,0.45355718229330155,0.17138000894425445,0.0,0.1222015653795154,0.12412761572865548,0.32438867681276573
Housing,0.0,0.0,0.004849069689204046,0.0,0.021589068851414123,0.03296690118494235,0.0,0.012343191226119826,0.0
Cooking fuel,0.41809829093686357,0.8745563288645396,0.5365366982464779,0.917444373040474,0.27207813617850096,0.6246858569999306,0.23026045592994746,0.0,0.9116474289359319
Assets,0.0,0.06724936066315622,0.0859181942507952,0.8369155532831143,0.0,0.02076544309218104,0.0,0.011596025659123415,0.0
