,Nutrition,School attendance,Schooling,Electricity,Drinking water,Sanitation,Housing,Cooking fuel,Assets
Nutrition,0.0,0.02352898372049093,0.0017700867298316594,0.12822141889823752,0.0077801152494517195,0.019295888335136593,0.006102798877212303,0.019362329462131414,0.12455835111789736
School attendance,0.020208042126952985,0.0,0.03072151192804695,0.43552992455565775,0.037927510128308126,0.033005146536819976,0.05366710477489046,0.017452095202187566,0.0
Schooling,0.0031528845703414766,0.06371402489263207,0.0,0.15377788687267033,0.029383235758733615,0.09707382528581887,0.060447844820081933,0.04254501065724143,0.6450617466761606
Electricity,0.013399759423951276,0.05299481171052743,0.009022290088064922,0.0,0.0,0.004820120563735301,0.013052829216308504,0.00216793439400398,0.17840796473464132
Drinking water,0.00867043256843906,0.049213924457471664,0.018384034629077717,0.0,0.0,0.05941720544592395,0.016156502702283405,0.025319055031577588,0.0
Sanitation,0.055574931796560895,0.11068142886764895,0.15696498395599368,0.13284207162382627,0.15355771762892423,0.0,0.1231844326812684,0.07126741861167148,0.42073385057858403
Housing,0.006855900633046145,0.07019764686352793,0.03812437679762805,0.14031486726914055,0.016286511855932526,0.048048200082777374,0.0,0.024154155226628393,0.18240721273712454
Cooking fuel,0.6768158773811013,0.710296110763905,0.8349261134914625,0.7251413074928085,0.7941557609763608,0.8649476037669773,0.7515698139348478,0.0,0.8169078227301652
Assets,0.011035095996195168,0.0,0.03208418621578108,0.15124501911802546,0.0,0.012941855870107127,0.014384998317247882,0.0020704435177628998,0.0
