,Child mortality,Nutrition,School attendance,Schooling,Electricity,Drinking water,Sanitation,Housing,Cooking fuel,Assets
Child mortality,0.0,0.015166547351919475,0.07634971352302254,0.0023629822845466814,0.01756043996028133,0.02368422748564177,0.025324602257823913,0.021819613291670887,0.019127632570279888,0.01145798518069893
Nutrition,0.04621679660400941,0.0,0.04715634607305187,0.018179916782749148,0.13652637486846744,0.09864669597300713,0.041995861747150594,0.038220407801330014,0.04962039699685945,0.016872305082481533
School attendance,0.06062353851046713,0.012287425608338832,0.0,0.0043758415658447965,0.056407717559261716,0.02020497471200166,0.016062437714532612,0.012325391427064554,0.01683279292616516,0.009464799503911063
Schooling,0.02612642983861299,0.0659626930311652,0.06093226486085189,0.0,0.579017112774075,0.2066016111001099,0.17104378962566782,0.23523584603558656,0.2573340833131738,0.45540162455722294
Electricity,0.0015650844333349632,0.0039930598827057125,0.006331506198175908,0.004667390917697561,0.0,0.01639603220707198,0.007294857416634063,0.01212742795965952,0.004777198072483193,0.05730228696157729
Drinking water,0.010124571357131094,0.01383843093909366,0.010877819871360947,0.007987879847882474,0.07864186516597674,0.0,0.017614313358117552,0.006027228240760784,0.006191254251260239,0.016970100784412908
Sanitation,0.060589286525021636,0.03297209844008001,0.048398376291686834,0.037011860230221114,0.19582477384935537,0.09858288003987266,0.0,0.10819664156701388,0.02949930463227763,0.24208908687841568
Housing,0.0469179000615503,0.02696955112566473,0.03337785063180894,0.04574834801929644,0.29258889627052853,0.03031738455352095,0.09724159901762026,0.0,0.04795692243360924,0.1418726370416365
Cooking fuel,0.26200514684323123,0.2230466587169199,0.29038281619471257,0.31880587158730894,0.7342086065857213,0.19838545115121187,0.16889125991596488,0.3054980135272953,0.0,0.2747868374271096
Assets,0.009204884712179184,0.004448067837952621,0.009576077358774788,0.03308910883931216,0.5165111167308613,0.03189165791946922,0.08128906052228171,0.05300504676055073,0.016116006020966075,0.0
