,Nutrition,School attendance,Schooling,Electricity,Drinking water,Sanitation,Housing,Cooking fuel,Assets
Nutrition,0.0,0.056197602145855154,0.013507281384675027,0.08042148231614461,0.046458320681256805,0.03614232132919292,0.03822235362647987,0.038822788652160004,0.09125571788896325
School attendance,0.07280880130073442,0.0,0.02727441812068876,0.024126444694843385,0.058272127535789746,0.04398709696269578,0.01347641378092712,0.042351178377481244,0.03200569233717977
Schooling,0.030189015173475244,0.047051166698816656,0.0,0.12086827617888131,0.11989616015365023,0.12350201987156689,0.11803343726483789,0.1060177848795208,0.5012716365529852
Electricity,0.013318683164768492,0.003084014751906686,0.008956133195767536,0.0,0.0,0.01309987578728615,0.01794946165663299,0.010668848164207528,0.16535889821486316
Drinking water,0.031579522881313715,0.03057291407664341,0.03646417001334318,0.0,0.0,0.0511923201800559,0.04987837591413775,0.028114988561246702,0.15187222622812996
Sanitation,0.07858023067213409,0.07381701198034658,0.12014074443009898,0.17197892117427122,0.1637419707985927,0.0,0.10449077781220766,0.12053996125359004,0.2184810818566873
Housing,0.10714001990204423,0.029156979935567397,0.14803293590235087,0.3038061143666363,0.20568591060741803,0.13471470422557336,0.0,0.09494974101005545,0.29510043636444394
Cooking fuel,0.5912965056859727,0.49787232704521844,0.7224641679383965,0.9811759742834002,0.6299621248532496,0.8444080711003844,0.5159149023660466,0.0,0.9394918873572888
Assets,0.03291139119779057,0.008909375949952647,0.08088691799195646,0.36010115198793735,0.08057910830391884,0.03624121389108852,0.037968348746854064,0.02224644417902496,0.0
