,Nutrition,School attendance,Schooling,Electricity,Drinking water,Sanitation,Housing,Cooking fuel,Assets
Nutrition,0.0,0.2726316607270983,0.14280924288730573,0.14622359803310087,0.17790773389064604,0.14703232427413024,0.19670196686718175,0.1293960551375942,0.15488363565388752
School attendance,0.11220278830954368,0.0,0.13134382237597397,0.12477148292201815,0.1652059774078322,0.10233722741580165,0.14625542656800122,0.10898237658313104,0.17516665626515868
Schooling,0.25308336236980805,0.56557417346636,0.0,0.49180143021850303,0.6078337890634011,0.4198136869931248,0.5274830680441015,0.3795620822731089,0.6566324762021145
Electricity,0.1626249818422829,0.3371768672314895,0.308640066143903,0.0,0.36048151019573454,0.25633142777927626,0.3752966650339945,0.26461903332461517,0.5077277866353966
Drinking water,0.20789422111866823,0.4690789946594874,0.40079763390494455,0.3787571049157821,0.0,0.3178202659985585,0.43793131310155525,0.3052493561241483,0.5448716546590681
Sanitation,0.3767114578149817,0.6370922076253319,0.6069393869249531,0.5905111041870051,0.6968350778163195,0.0,0.6028113898356419,0.4075388072747261,0.7382920100261307
Housing,0.23497018622410365,0.42451074454215093,0.35555378244255176,0.4030964456839092,0.44767461463756975,0.28105382551258445,0.0,0.2959681127218544,0.4984634612476415
Cooking fuel,0.2662546388035126,0.5448852610234172,0.4407087651649498,0.48958424125927147,0.5375059965961387,0.32730233959003385,0.5098201674743749,0.0,0.6044395184395965
Assets,0.21318882840773667,0.5858453508619315,0.5100044764371073,0.6283766597321105,0.6418086035351641,0.39663503202554834,0.5743652793520954,0.4043296712348938,0.0
