,Child mortality,Nutrition,School attendance,Schooling,Electricity,Drinking water,Sanitation,Housing,Cooking fuel,Assets
Child mortality,0.0,0.04491899276546579,0.019046383281296028,0.0075213823702664565,0.0254467594671388,0.019465121108592758,0.020077182411668015,0.03295763226642648,0.017418377818992792,0.02455549988763569
Nutrition,0.2351134776621153,0.0,0.19743270558649154,0.10531640258765107,0.207885415812942,0.2469741362795317,0.1689525879909976,0.2221234249480779,0.2593479459924415,0.23805670571736212
School attendance,0.03637296334521888,0.07203403563279144,0.0,0.044264882142516705,0.07112679680889125,0.058784545943247585,0.04529880450522321,0.06549736114796675,0.10258569454581677,0.06878811503530793
Schooling,0.018558951214171168,0.04964828626492266,0.05719379432350924,0.0,0.08300154084404314,0.12735829296538037,0.09306013917077526,0.09604194038539325,0.09814267330891757,0.14491106924472258
Electricity,0.3113845788569884,0.48600543093068954,0.4557552721863787,0.41161861615960527,0.0,0.7643008995286958,0.4267880249046269,0.5681607328492958,0.6848159951075923,0.8294623708275185
Drinking water,0.06372177518793165,0.15446664548037908,0.10076918790272214,0.16896712826910437,0.20447043019951208,0.0,0.16519484345076949,0.2294138965442902,0.3116833478025086,0.33109357886183566
Sanitation,0.16405534981666517,0.26375758945680144,0.19382429263466466,0.3081736965464467,0.28499368821515986,0.41233800298846607,0.0,0.3029646323795141,0.34421440380733803,0.3907384716620202
Housing,0.23282400545630974,0.2997910050341061,0.24228659711043266,0.2749646832719436,0.3280034049390266,0.4950632838625728,0.2619244574447712,0.0,0.4623915552817191,0.4885981804644847
Cooking fuel,0.08284916265437159,0.23567619272663598,0.25550597157757604,0.18918318732668307,0.26618874981760643,0.45285926880684135,0.20036498309665998,0.31132826974852185,0.0,0.4019371852380665
Assets,0.13252423503604324,0.245459265196404,0.1943988851226604,0.31695114496890514,0.3658293953121754,0.5458414710627514,0.2580744838381099,0.3732730358402087,0.4560624293138079,0.0
